Date,Calories Consumed,Calories from Exercise,Weight,BF%,Muscle Mass,Protein > 130,Exercise Minutes,Steps
9/7/2025,1630,629,162.5,19.5,74.5,TRUE,83,11657
9/8/2025,2106,608,160.5,20,73.6,TRUE,97,10069
9/9/2025,1633,156,159.8,19.4,73.9,TRUE,0,8337
9/10/2025,1703,596,158.7,19.6,72.8,TRUE,77,11325
9/11/2025,2151,329,158.7,20.1,72.5,TRUE,48,6315
9/12/2025,1733,42,159,19.2,73.4,TRUE,0,3867
9/13/2025,2030,887,158.5,18.5,73.9,TRUE,87,16192
9/14/2025,3024,305,160.1,18.1,75,TRUE,0,10854
9/15/2025,1645,257,161.2,18.6,74.7,TRUE,18,11880
9/16/2025,1663,553,159.4,20.7,71.9,TRUE,67,13133
9/17/2025,1778,667,158.3,20,72.1,TRUE,100,11116
9/18/2025,2205,707,157.2,20.3,71.4,TRUE,100,11975
9/19/2025,1776,546,159.4,19.6,73.2,TRUE,49,18911
9/20/2025,1862,502,159.8,19.4,73.4,TRUE,28,11553
9/21/2025,1952,507,158.5,18.3,74.1,TRUE,76,5863
9/22/2025,1868,439,158.5,18.9,73.4,TRUE,77,9920
9/23/2025,1843,408,157.6,19.8,72.1,TRUE,58,9369
9/24/2025,1614,303,158.1,18.6,73.6,TRUE,28,8474
9/25/2025,2133,1094,156.5,19.9,71.9,TRUE,169,20482
9/26/2025,1856,425,157,18.7,73,TRUE,44,12766
9/27/2025,2500,826,156.8,19.5,72.1,TRUE,122,9681
9/28/2025,1888,95,157.4,19.1,72.5,TRUE,0,6586
9/29/2025,1838,431,157.6,18.8,73,TRUE,47,9538
9/30/2025,1464,61,155.4,18.4,72.5,TRUE,0,4764
10/1/2025,1778,98,155.9,18.3,72.8,TRUE,0,5512
10/2/2025,1786,688,155.6,18.7,72.3,TRUE,105,12247
10/3/2025,1992,566,156.1,18.8,72.1,TRUE,96,13084
10/4/2025,2177,619,156.1,17.9,73,TRUE,100,13677
10/5/2025,1958,128,155.2,17.5,73.2,TRUE,0,8448
10/6/2025,1937,581,154.8,18.6,71.7,TRUE,76,12093
10/7/2025,2050,915,155.2,18.5,72.3,TRUE,132,15329
10/8/2025,1914,364,155,18.8,71.7,TRUE,43,8909
10/9/2025,2239,542,153.9,17.1,73,TRUE,73,11930
10/10/2025,1867,549,154.8,18.4,72.1,TRUE,87,11757
10/11/2025,1955,48,154.5,18.1,72.3,TRUE,0,3891
10/12/2025,1589,100,155.6,17.1,73.9,TRUE,0,5859
10/13/2025,1734,42,155,18.8,71.7,TRUE,0,4005
10/14/2025,1918,826,154.8,18.4,72.3,TRUE,124,11404
10/15/2025,1858,707,154.5,18.7,71.9,TRUE,90,12910
10/16/2025,1943,683,153.7,18.7,71.7,TRUE,107,11923
10/17/2025,1832,161,153.2,17,73,TRUE,5,14180
10/18/2025,2300,235,155.2,18.1,72.3,TRUE,21,15132
10/19/2025,1988,95,154.3,16.8,73.4,TRUE,0,9087
10/20/2025,2160,146,155.4,18.4,71.9,TRUE,0,9037
10/21/2025,1709,828,155.6,18.5,72.3,TRUE,134,12318
10/22/2025,1641,712,154.8,18.6,72.1,TRUE,102,11394
10/23/2025,1731,561,153.7,18.4,71.7,TRUE,89,11043
10/24/2025,1943,769,153.7,18.3,71.7,TRUE,87,13145
10/25/2025,1753,93,154.1,18.2,72.1,TRUE,0,6163
10/26/2025,2350,763,154.3,17.9,72.5,TRUE,123,14597
10/27/2025,1747,71,154.3,18.9,70.1,TRUE,0,5129
10/28/2025,1741,400,153.2,18.8,71,TRUE,51,7035
10/29/2025,1767,758,151,18,70.8,TRUE,130,10890
10/30/2025,2064,971,151,16.8,71.9,TRUE,89,10978
10/31/2025,2067,442,151,17.7,71,TRUE,54,8221
11/1/2025,2350,839,151.5,17.8,71.2,TRUE,137,18144
11/2/2025,1861,541,152.1,18.1,71,TRUE,85,11437
11/3/2025,2104,745,153.2,18.2,71.4,TRUE,120,12031
11/4/2025,1882,666,152.3,17.2,72.1,TRUE,118,10858
11/5/2025,1950,300,152.5,17.5,72.1,TRUE,0,5263
11/6/2025,1954,750,151.5,17.6,71.4,TRUE,104,10875
11/7/2025,1900,651,152.8,16.9,72.5,TRUE,10,10000
11/8/2025,2908,500,152,17.2,72.5,TRUE,0,10192
11/9/2025,2781,100,154,17.3,72.5,TRUE,0,5000
11/10/2025,1985,427,156,17.5,74.5,TRUE,20,7218
11/11/2025,1750,650,154.3,17.4,73,TRUE,95,8259
11/12/2025,2017,700,152.6,18.1,72.8,TRUE,129,8773
11/13/2025,1980,880,151.7,17.4,71.4,TRUE,139,8125
11/14/2025,2030,400,152.8,17.9,71.7,TRUE,50,6680
11/15/2025,2180,200,152.3,16.9,71.7,TRUE,5,5000
11/16/2025,2230,100,152.1,17.5,72.1,TRUE,10,3000
11/17/2025,1751,641,153.9,17.7,71.7,TRUE,122,10005
11/18/2025,1762,793,153.2,16.9,72.3,TRUE,139,8755
11/19/2025,1922,691,153.7,17.1,70.3,TRUE,128,9360
11/20/2025,2194,600,152.8,17.2,71.2,TRUE,62,5548
11/21/2025,1662,50,151.5,16.9,72.8,TRUE,0,5000
11/22/2025,2072,935,151.2,17.6,72.3,TRUE,154,11604
11/23/2025,2000,850,151.2,16.3,71.9,TRUE,131,10215
11/24/2025,2050,382,152.3,16.7,72.5,TRUE,52,11195
11/25/2025,1936,417,151.2,16.9,71.9,TRUE,67,10843
11/26/2025,1651,551,152.3,17,71.9,TRUE,106,8000
11/28/2025,1950,632,151.7,17,71.9,TRUE,100,12612
11/29/2025,2400,300,153,16.9,72.5,TRUE,100,10000
